City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Saint-Pierre,RE,80.24,light rain,-21.3393,55.4781,Lindsey Hôtel
14,Rikitea,PF,76.37,broken clouds,-23.1203,-134.9692,People ThankYou
15,Busselton,AU,83.71,broken clouds,-33.65,115.3333,Observatory Guest House
16,Sao Filipe,CV,77.07,broken clouds,14.8961,-24.4956,Hotel Xaguate
19,Maceio,BR,80.04,light rain,-9.6658,-35.7353,Poutur Pousada
30,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
34,Nabire,ID,82.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
39,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
43,Bengkulu,ID,82.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
45,Hithadhoo,MV,81.88,overcast clouds,-0.6,73.0833,Scoop Guest House
47,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
54,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Butaritari,KI,82.29,broken clouds,3.0707,172.7902,Isles Sunset Lodge
59,Salalah,OM,78.91,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
63,Ballina,AU,75.24,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
67,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
71,Atuona,PF,78.76,overcast clouds,-9.8,-139.0333,Villa Enata
74,Airai,TL,75.11,overcast clouds,-8.9266,125.4092,Juvinal Martin
77,Cayenne,GF,77.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
79,Saint-Philippe,RE,80.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Sorong,ID,84.9,broken clouds,-0.8833,131.25,Waigo Splash Hotel
87,Bonthe,SL,79.99,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
90,Santa Rosa,PH,78.78,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
96,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
103,Cabrobo,BR,79.56,broken clouds,-8.5142,-39.31,Hotel Limarques
104,Kirakira,SB,84.22,broken clouds,-10.4544,161.9205,SanBiz Lodge
105,Bubaque,GW,82.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Lorengau,PG,86.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Samarai,PG,83.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
115,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
121,Sokolo,ML,79.38,overcast clouds,14.7328,-6.1219,
128,Faanui,PF,81.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
146,Bandarbeyla,SO,79.09,overcast clouds,9.4942,50.8122,JABIR HOTEL
149,Luganville,VU,84.51,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
154,Vaini,TO,79.34,light rain,-21.2,-175.2,Keleti Beach Resort
162,Coxim,BR,79.99,broken clouds,-18.5067,-54.76,Hotel Avenida
176,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
179,Victoria,HK,75.16,broken clouds,22.2855,114.1577,Mini Hotel Central
183,Souillac,MU,79.79,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Kieta,PG,82.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
186,Santa Cruz,BO,77.09,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
195,Grand Gaube,MU,77.83,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
204,Sur,OM,78.67,few clouds,22.5667,59.5289,Sur Plaza Hotel
205,Sambava,MG,76.98,few clouds,-14.2667,50.1667,Melrose
206,Atambua,ID,85.41,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
212,Antalaha,MG,79.63,broken clouds,-14.9003,50.2788,Hotel Vitasoa
217,Broken Hill,AU,75.38,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
218,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
226,Port-Gentil,GA,78.48,overcast clouds,-0.7193,8.7815,Fengshui Residence
231,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,Will T Place
235,Pangai,TO,80.78,light rain,-19.8,-174.35,Ha'apai Beach Resort
236,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
237,Bambanglipuro,ID,78.71,overcast clouds,-7.95,110.2833,Puri Brata
239,Ternate,ID,84.02,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
240,Alugan,PH,82.98,overcast clouds,12.2188,125.4808,JM Lodge
241,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
243,Poum,NC,80.76,few clouds,-20.2333,164.0167,Gîte kajeon
244,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
258,Limbang,MY,84.31,light rain,4.75,115.0,Purnama Hotel
263,Kapoeta,SS,77.83,broken clouds,4.7717,33.5903,Eastgate Hotel
270,Male,MV,81.52,moderate rain,4.1748,73.5089,Hotel Octave Maldives
271,Acajutla,SV,77.31,few clouds,13.5928,-89.8275,asi es
277,Bambous Virieux,MU,78.48,clear sky,-20.3428,57.7575,Casa Tia Villa
280,Faridpur,BD,77.0,few clouds,23.6,89.8333,Progoti Muslim hostel
287,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
289,Tevaitoa,PF,81.05,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
293,Palu,ID,86.88,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
299,Daru,PG,85.95,broken clouds,-9.0763,143.2092,Daru Lodge
304,Kavieng,PG,84.94,broken clouds,-2.5744,150.7967,Nusa Island Retreat
305,Itarema,BR,79.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
310,Saint-Leu,RE,79.63,light rain,-21.15,55.2833,La Caz Oceane
320,Dingle,PH,84.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
324,Barra Patuca,HN,75.43,overcast clouds,15.8,-84.2833,
325,Puerto Leguizamo,CO,76.14,overcast clouds,-0.1934,-74.7819,la casona de juancho
329,Aitape,PG,87.57,broken clouds,-3.1374,142.3475,
331,Salinopolis,BR,79.52,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
333,Nieuw Amsterdam,SR,75.36,broken clouds,5.8833,-55.0833,Hotel Stardust
