City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-11-23 23:06:53,77.484,-69.3632,-6.25,67,81,9.17
1,Brae,GB,2021-11-23 23:07:19,60.3964,-1.353,49.91,84,100,29.12
2,Punta Arenas,CL,2021-11-23 22:58:48,-53.15,-70.9167,51.91,58,0,31.07
3,Hermanus,ZA,2021-11-23 23:02:17,-34.4187,19.2345,63.9,80,94,7.96
4,Shuangcheng,CN,2021-11-23 23:07:19,45.35,126.2833,7.66,88,48,11.43
5,Yenagoa,NG,2021-11-23 23:07:19,4.9247,6.2642,76.41,91,97,4.68
6,Santiago Del Estero,AR,2021-11-23 23:03:04,-27.7951,-64.2615,73.8,83,100,7.09
7,Rikitea,PF,2021-11-23 23:01:34,-23.1203,-134.9692,76.96,81,42,15.3
8,Vaini,TO,2021-11-23 23:04:32,-21.2,-175.2,84.36,84,20,5.75
9,Albany,US,2021-11-23 23:02:15,42.6001,-73.9662,29.75,60,10,8.01
10,Carnarvon,AU,2021-11-23 23:02:21,-24.8667,113.6333,74.66,41,0,14.09
11,Utinga,BR,2021-11-23 23:07:20,-5.8172,-35.3954,81.45,78,0,9.22
12,Chuy,UY,2021-11-23 23:07:20,-33.6971,-53.4616,55.63,70,0,6.8
13,Sosnovo-Ozerskoye,RU,2021-11-23 23:07:21,52.5249,111.5418,1.78,91,100,1.01
14,Tandil,AR,2021-11-23 23:07:21,-37.3217,-59.1332,74.3,28,1,5.01
15,Launceston,AU,2021-11-23 23:07:21,-41.45,147.1667,65.84,68,90,2.3
16,Kysyl-Syr,RU,2021-11-23 23:07:21,63.8986,122.7617,-27.72,99,14,3.42
17,Bogorodskoye,RU,2021-11-23 23:07:22,56.55,37.8833,18.45,80,72,7.85
18,Mar Del Plata,AR,2021-11-23 23:00:03,-38.0023,-57.5575,65.43,53,38,16.62
19,Dwarka,IN,2021-11-23 23:07:22,22.2394,68.9678,76.68,64,49,9.24
20,Mataura,NZ,2021-11-23 23:02:12,-46.1927,168.8643,64.89,39,92,5.41
21,Bluff,NZ,2021-11-23 23:02:51,-46.6,168.3333,56.19,71,100,14.54
22,Esperance,AU,2021-11-23 23:01:35,-33.8667,121.9,59.76,64,5,5.23
23,Avarua,CK,2021-11-23 23:04:40,-21.2078,-159.775,78.85,61,98,16.11
24,Byron Bay,AU,2021-11-23 23:07:23,-28.65,153.6167,74.71,87,100,9.91
25,Thompson,CA,2021-11-23 23:04:40,55.7435,-97.8558,-0.24,78,90,12.66
26,Atuona,PF,2021-11-23 23:06:55,-9.8,-139.0333,77.81,77,29,14.61
27,Busselton,AU,2021-11-23 23:02:19,-33.65,115.3333,60.04,61,1,7.0
28,Zalantun,CN,2021-11-23 23:07:23,48.0,122.7167,10.47,60,43,15.46
29,Codrington,AU,2021-11-23 23:05:44,-38.2667,141.9667,64.83,77,88,5.57
30,Calvinia,ZA,2021-11-23 23:07:23,-31.4707,19.776,61.12,49,34,6.11
